date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:03	86440/86440	U-----	200	untouched ('')	font/ttf	etag:W/%22ba01f61-151a8-582f3c0c24df8%22	https://johnyvino.com/fonts/CircularStd-Medium.ttf	/home/adonis/Documents/joy-site/joysite/johnyvino.com/fonts/CircularStd-Medium.ttf	(from https://johnyvino.com/css/main.css)
10:54:04	39256/39256	U-----	200	untouched ('')	font/otf	etag:W/%22ba01f62-9958-582f3c0c17b08%22	https://johnyvino.com/fonts/Knockout-HTF51-Middleweight.otf	/home/adonis/Documents/joy-site/joysite/johnyvino.com/fonts/Knockout-HTF51-Middleweight.otf	(from https://johnyvino.com/css/main.css)
10:54:05	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Dec%202021%2009:54:04%20GMT	https://johnyvino.com/www.onfocoin.com	/home/adonis/Documents/joy-site/joysite/johnyvino.com/www.onfocoin.html	(from https://johnyvino.com/)
10:54:08	10011/10011	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22b9e06a5-271b-582f3c74b9d62%22	https://johnyvino.com/images/header/illustration-connect-light.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/header/illustration-connect-light.svg	(from https://johnyvino.com/css/main.css)
10:54:08	0/-1	---M--	404	error ('')			https://johnyvino.com/Charles%20Riccardi	/home/adonis/Documents/joy-site/joysite/johnyvino.com/Charles%20Riccardi.html	(from https://johnyvino.com/)
10:54:37	13879/13879	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22b9e06a6-3637-582f3c7584b7a%22	https://johnyvino.com/images/header/illustration-light.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/header/illustration-light.svg	(from https://johnyvino.com/css/main.css)
10:54:37	16897/16897	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22b9e06af-4201-582f3c7583022%22	https://johnyvino.com/images/header/illustration-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/header/illustration-dark.svg	(from https://johnyvino.com/css/main.css)
10:54:37	10223/10223	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22b9e069e-27ef-582f3c7455bd1%22	https://johnyvino.com/images/header/illustration-connect-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/header/illustration-connect-dark.svg	(from https://johnyvino.com/css/main.css)
10:54:37	509/509	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22ba02356-1fd-582f3e183ca9d%22	https://johnyvino.com/images/work/slideup-light.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/work/slideup-light.svg	(from https://johnyvino.com/css/main.css)
10:54:37	485/485	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22ba02352-1e5-582f3e1772c24%22	https://johnyvino.com/images/work/slideup-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/work/slideup-dark.svg	(from https://johnyvino.com/css/main.css)
10:54:37	272/272	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22b9e069c-110-582f3c6fdbfc7%22	https://johnyvino.com/images/close.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/close.svg	(from https://johnyvino.com/css/main.css)
10:54:37	310/310	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%22b9e0674-136-582f3c6a297d4%22	https://johnyvino.com/images/close-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/close-dark.svg	(from https://johnyvino.com/css/main.css)
10:54:37	194972/194972	U-----	200	untouched ('')	video/mp4	etag:%22ba0207b-2f99c-582f3d5bcb2f9%22	https://johnyvino.com/images/newwork/Microsoft/draganddrop.mp4	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/Microsoft/draganddrop.mp4	(from https://johnyvino.com/)
10:54:38	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Dec%202021%2009:54:38%20GMT	https://johnyvino.com/www.cleanmock.com	/home/adonis/Documents/joy-site/joysite/johnyvino.com/www.cleanmock.html	(from https://johnyvino.com/)
